tagName;ts;tagValue
ECS_kWh_3_1;2021-03-31 17:36:27.000;13.51
ECS_kWh_3_1;2021-03-30 17:36:27.000;15.34
ECS_kWh_3_1;2021-03-29 17:36:27.000;18.78
ECS_kWh_3_1;2021-03-28 17:36:27.000;18.83
ECS_kWh_3_1;2021-03-27 17:36:27.000;15.92
ECS_kWh_3_1;2021-03-26 17:36:27.000;25.15
ECS_kWh_3_1;2021-03-25 17:36:27.000;25.52
ECS_kWh_3_1;2021-03-24 17:36:27.000;21.22
ECS_kWh_3_1;2021-03-23 17:36:27.000;11.33
ECS_kWh_3_1;2021-03-22 17:36:27.000;21.44
ECS_kWh_3_1;2021-03-21 17:36:27.000;28.09
ECS_kWh_3_1;2021-03-20 17:36:27.000;14.62
ECS_kWh_3_1;2021-03-19 17:36:27.000;21.61
ECS_kWh_3_1;2021-03-18 17:36:27.000;10.7
ECS_kWh_3_1;2021-03-17 17:36:27.000;20.98
chauffage_kWh_3_1;2021-03-31 17:36:27.000;25.4
chauffage_kWh_3_1;2021-03-30 17:36:27.000;19.2
chauffage_kWh_3_1;2021-03-29 17:36:27.000;16.04
chauffage_kWh_3_1;2021-03-28 17:36:27.000;16.22
chauffage_kWh_3_1;2021-03-27 17:36:27.000;11.92
chauffage_kWh_3_1;2021-03-26 17:36:27.000;19.09
chauffage_kWh_3_1;2021-03-25 17:36:27.000;17.52
chauffage_kWh_3_1;2021-03-24 17:36:27.000;11.65
chauffage_kWh_3_1;2021-03-23 17:36:27.000;17.13
chauffage_kWh_3_1;2021-03-22 17:36:27.000;16.64
chauffage_kWh_3_1;2021-03-21 17:36:27.000;14.65
chauffage_kWh_3_1;2021-03-20 17:36:27.000;20.41
chauffage_kWh_3_1;2021-03-19 17:36:27.000;28.81
chauffage_kWh_3_1;2021-03-18 17:36:27.000;16.29
chauffage_kWh_3_1;2021-03-17 17:36:27.000;14.38
eau_froide_m3_3_1;2021-03-31 17:36:27.000;18.41
eau_froide_m3_3_1;2021-03-30 17:36:27.000;20.12
eau_froide_m3_3_1;2021-03-29 17:36:27.000;17.3
eau_froide_m3_3_1;2021-03-28 17:36:27.000;22.72
eau_froide_m3_3_1;2021-03-27 17:36:27.000;28.74
eau_froide_m3_3_1;2021-03-26 17:36:27.000;29.74
eau_froide_m3_3_1;2021-03-25 17:36:27.000;15.02
eau_froide_m3_3_1;2021-03-24 17:36:27.000;27.7
eau_froide_m3_3_1;2021-03-23 17:36:27.000;21.22
eau_froide_m3_3_1;2021-03-22 17:36:27.000;18.05
eau_froide_m3_3_1;2021-03-21 17:36:27.000;24.96
eau_froide_m3_3_1;2021-03-20 17:36:27.000;14.19
