tagName;ts;value_diff;tagValue
ECS_kWh_3_1;2021-03-17 17:36:27.000;13.51;15013.51
ECS_kWh_3_1;2021-03-18 17:36:27.000;15.34;15028.85
ECS_kWh_3_1;2021-03-19 17:36:27.000;18.78;15047.63
ECS_kWh_3_1;2021-03-20 17:36:27.000;18.83;15066.46
ECS_kWh_3_1;2021-03-21 17:36:27.000;15.92;15082.38
ECS_kWh_3_1;2021-03-22 17:36:27.000;25.15;15107.53
ECS_kWh_3_1;2021-03-23 17:36:27.000;25.52;15133.05
ECS_kWh_3_1;2021-03-24 17:36:27.000;21.22;15154.27
ECS_kWh_3_1;2021-03-25 17:36:27.000;11.33;15165.6
ECS_kWh_3_1;2021-03-26 17:36:27.000;21.44;15187.04
ECS_kWh_3_1;2021-03-27 17:36:27.000;28.09;15215.13
ECS_kWh_3_1;2021-03-28 17:36:27.000;14.62;15229.75
ECS_kWh_3_1;2021-03-29 17:36:27.000;21.61;15251.36
ECS_kWh_3_1;2021-03-30 17:36:27.000;10.7;15262.06
ECS_kWh_3_1;2021-03-31 17:36:27.000;20.98;15283.04
chauffage_kWh_3_1;2021-03-17 17:36:27.000;25.4;12025.4
chauffage_kWh_3_1;2021-03-18 17:36:27.000;19.2;12044.6
chauffage_kWh_3_1;2021-03-19 17:36:27.000;16.04;12060.64
chauffage_kWh_3_1;2021-03-20 17:36:27.000;16.22;12076.86
chauffage_kWh_3_1;2021-03-21 17:36:27.000;11.92;12088.78
chauffage_kWh_3_1;2021-03-22 17:36:27.000;19.09;12107.87
chauffage_kWh_3_1;2021-03-23 17:36:27.000;17.52;12125.39
chauffage_kWh_3_1;2021-03-24 17:36:27.000;11.65;12137.04
chauffage_kWh_3_1;2021-03-25 17:36:27.000;17.13;12154.17
chauffage_kWh_3_1;2021-03-26 17:36:27.000;16.64;12170.81
chauffage_kWh_3_1;2021-03-27 17:36:27.000;14.65;12185.46
chauffage_kWh_3_1;2021-03-28 17:36:27.000;20.41;12205.87
chauffage_kWh_3_1;2021-03-29 17:36:27.000;28.81;12234.68
chauffage_kWh_3_1;2021-03-30 17:36:27.000;16.29;12250.97
chauffage_kWh_3_1;2021-03-31 17:36:27.000;14.38;12265.35
eau_froide_m3_3_1;2021-03-17 17:36:27.000;18.41;18392.41
eau_froide_m3_3_1;2021-03-18 17:36:27.000;20.12;18412.53
eau_froide_m3_3_1;2021-03-19 17:36:27.000;17.3;18429.83
eau_froide_m3_3_1;2021-03-20 17:36:27.000;22.72;18452.55
eau_froide_m3_3_1;2021-03-21 17:36:27.000;28.74;18481.29
eau_froide_m3_3_1;2021-03-22 17:36:27.000;29.74;18511.03
eau_froide_m3_3_1;2021-03-23 17:36:27.000;15.02;18526.05
eau_froide_m3_3_1;2021-03-24 17:36:27.000;27.7;18553.75
eau_froide_m3_3_1;2021-03-25 17:36:27.000;21.22;18574.97
eau_froide_m3_3_1;2021-03-26 17:36:27.000;18.05;18593.02
eau_froide_m3_3_1;2021-03-27 17:36:27.000;24.96;18617.98
eau_froide_m3_3_1;2021-03-28 17:36:27.000;14.19;18632.17
eau_froide_m3_3_1;2021-03-29 17:36:27.000;29.39;18661.56
eau_froide_m3_3_1;2021-03-30 17:36:27.000;12.74;18674.3
eau_froide_m3_3_1;2021-03-31 17:36:27.000;18.67;18692.97
ECS_kWh_3_2;2021-03-17 17:36:27.000;22.6;15022.6
ECS_kWh_3_2;2021-03-18 17:36:27.000;19.15;15041.75
ECS_kWh_3_2;2021-03-19 17:36:27.000;21.42;15063.17
ECS_kWh_3_2;2021-03-20 17:36:27.000;15.68;15078.85
ECS_kWh_3_2;2021-03-21 17:36:27.000;15.7;15094.55
ECS_kWh_3_2;2021-03-22 17:36:27.000;19.84;15114.39
ECS_kWh_3_2;2021-03-23 17:36:27.000;24.8;15139.19
ECS_kWh_3_2;2021-03-24 17:36:27.000;28.67;15167.86
ECS_kWh_3_2;2021-03-25 17:36:27.000;22.79;15190.65
ECS_kWh_3_2;2021-03-26 17:36:27.000;17.87;15208.52
ECS_kWh_3_2;2021-03-27 17:36:27.000;13.36;15221.88
ECS_kWh_3_2;2021-03-28 17:36:27.000;10.06;15231.94
ECS_kWh_3_2;2021-03-29 17:36:27.000;27.37;15259.31
ECS_kWh_3_2;2021-03-30 17:36:27.000;23.84;15283.15
ECS_kWh_3_2;2021-03-31 17:36:27.000;13.34;15296.49
chauffage_kWh_3_2;2021-03-17 17:36:27.000;26.03;12026.03
chauffage_kWh_3_2;2021-03-18 17:36:27.000;22.87;12048.9
chauffage_kWh_3_2;2021-03-19 17:36:27.000;17.39;12066.29
chauffage_kWh_3_2;2021-03-20 17:36:27.000;25.24;12091.53
chauffage_kWh_3_2;2021-03-21 17:36:27.000;21.39;12112.92
chauffage_kWh_3_2;2021-03-22 17:36:27.000;19.58;12132.5
chauffage_kWh_3_2;2021-03-23 17:36:27.000;13.37;12145.87
chauffage_kWh_3_2;2021-03-24 17:36:27.000;12.52;12158.39
chauffage_kWh_3_2;2021-03-25 17:36:27.000;21.54;12179.93
chauffage_kWh_3_2;2021-03-26 17:36:27.000;16.59;12196.52
chauffage_kWh_3_2;2021-03-27 17:36:27.000;22.07;12218.59
chauffage_kWh_3_2;2021-03-28 17:36:27.000;15.88;12234.47
chauffage_kWh_3_2;2021-03-29 17:36:27.000;23.51;12257.98
chauffage_kWh_3_2;2021-03-30 17:36:27.000;19.35;12277.33
chauffage_kWh_3_2;2021-03-31 17:36:27.000;18.75;12296.08
eau_froide_m3_3_2;2021-03-17 17:36:27.000;23.3;18397.3
eau_froide_m3_3_2;2021-03-18 17:36:27.000;19.32;18416.62
eau_froide_m3_3_2;2021-03-19 17:36:27.000;17.9;18434.52
eau_froide_m3_3_2;2021-03-20 17:36:27.000;25.7;18460.22
eau_froide_m3_3_2;2021-03-21 17:36:27.000;25.24;18485.46
eau_froide_m3_3_2;2021-03-22 17:36:27.000;29.11;18514.57
eau_froide_m3_3_2;2021-03-23 17:36:27.000;20.53;18535.1
eau_froide_m3_3_2;2021-03-24 17:36:27.000;10.12;18545.22
eau_froide_m3_3_2;2021-03-25 17:36:27.000;16.94;18562.16
eau_froide_m3_3_2;2021-03-26 17:36:27.000;28.16;18590.32
eau_froide_m3_3_2;2021-03-27 17:36:27.000;15.58;18605.9
eau_froide_m3_3_2;2021-03-28 17:36:27.000;29.9;18635.8
eau_froide_m3_3_2;2021-03-29 17:36:27.000;12.31;18648.11
eau_froide_m3_3_2;2021-03-30 17:36:27.000;23.79;18671.9
eau_froide_m3_3_2;2021-03-31 17:36:27.000;12.76;18684.66
ECS_kWh_3_3;2021-03-17 17:36:27.000;11.61;15011.61
ECS_kWh_3_3;2021-03-18 17:36:27.000;19.62;15031.23
ECS_kWh_3_3;2021-03-19 17:36:27.000;19.48;15050.71
ECS_kWh_3_3;2021-03-20 17:36:27.000;22.32;15073.03
ECS_kWh_3_3;2021-03-21 17:36:27.000;18.35;15091.38
ECS_kWh_3_3;2021-03-22 17:36:27.000;25.43;15116.81
