tagName;ts;value_diff;tagValue;week
ECS_kWh_3_1;2021-03-17 17:36:27;13.51;15013.51;12
ECS_kWh_3_1;2021-03-18 17:36:27;15.34;15028.85;12
ECS_kWh_3_1;2021-03-19 17:36:27;18.78;15047.63;12
ECS_kWh_3_1;2021-03-20 17:36:27;18.83;15066.46;12
ECS_kWh_3_1;2021-03-21 17:36:27;15.92;15082.38;13
ECS_kWh_3_1;2021-03-22 17:36:27;25.15;15107.53;13
ECS_kWh_3_1;2021-03-23 17:36:27;25.52;15133.05;13
ECS_kWh_3_1;2021-03-24 17:36:27;21.22;15154.27;13
ECS_kWh_3_1;2021-03-25 17:36:27;11.33;15165.6;13
ECS_kWh_3_1;2021-03-26 17:36:27;21.44;15187.04;13
ECS_kWh_3_1;2021-03-27 17:36:27;28.09;15215.13;13
ECS_kWh_3_1;2021-03-28 17:36:27;14.62;15229.75;14
ECS_kWh_3_1;2021-03-29 17:36:27;21.61;15251.36;14
ECS_kWh_3_1;2021-03-30 17:36:27;10.7;15262.06;14
ECS_kWh_3_1;2021-03-31 17:36:27;20.98;15283.04;14
chauffage_kWh_3_1;2021-03-17 17:36:27;25.4;12025.4;12
chauffage_kWh_3_1;2021-03-18 17:36:27;19.2;12044.6;12
chauffage_kWh_3_1;2021-03-19 17:36:27;16.04;12060.64;12
chauffage_kWh_3_1;2021-03-20 17:36:27;16.22;12076.86;12
chauffage_kWh_3_1;2021-03-21 17:36:27;11.92;12088.78;13
chauffage_kWh_3_1;2021-03-22 17:36:27;19.09;12107.87;13
chauffage_kWh_3_1;2021-03-23 17:36:27;17.52;12125.39;13
chauffage_kWh_3_1;2021-03-24 17:36:27;11.65;12137.04;13
chauffage_kWh_3_1;2021-03-25 17:36:27;17.13;12154.17;13
chauffage_kWh_3_1;2021-03-26 17:36:27;16.64;12170.81;13
chauffage_kWh_3_1;2021-03-27 17:36:27;14.65;12185.46;13
chauffage_kWh_3_1;2021-03-28 17:36:27;20.41;12205.87;14
chauffage_kWh_3_1;2021-03-29 17:36:27;28.81;12234.68;14
chauffage_kWh_3_1;2021-03-30 17:36:27;16.29;12250.97;14
chauffage_kWh_3_1;2021-03-31 17:36:27;14.38;12265.35;14
eau_froide_m3_3_1;2021-03-17 17:36:27;18.41;18392.41;12
eau_froide_m3_3_1;2021-03-18 17:36:27;20.12;18412.53;12
eau_froide_m3_3_1;2021-03-19 17:36:27;17.3;18429.83;12
eau_froide_m3_3_1;2021-03-20 17:36:27;22.72;18452.55;12
eau_froide_m3_3_1;2021-03-21 17:36:27;28.74;18481.29;13
eau_froide_m3_3_1;2021-03-22 17:36:27;29.74;18511.03;13
eau_froide_m3_3_1;2021-03-23 17:36:27;15.02;18526.05;13
eau_froide_m3_3_1;2021-03-24 17:36:27;27.7;18553.75;13
eau_froide_m3_3_1;2021-03-25 17:36:27;21.22;18574.97;13
eau_froide_m3_3_1;2021-03-26 17:36:27;18.05;18593.02;13
eau_froide_m3_3_1;2021-03-27 17:36:27;24.96;18617.98;13
eau_froide_m3_3_1;2021-03-28 17:36:27;14.19;18632.17;14
eau_froide_m3_3_1;2021-03-29 17:36:27;29.39;18661.56;14
eau_froide_m3_3_1;2021-03-30 17:36:27;12.74;18674.3;14
eau_froide_m3_3_1;2021-03-31 17:36:27;18.67;18692.97;14
ECS_kWh_3_2;2021-03-17 17:36:27;22.6;15022.6;12
ECS_kWh_3_2;2021-03-18 17:36:27;19.15;15041.75;12
ECS_kWh_3_2;2021-03-19 17:36:27;21.42;15063.17;12
ECS_kWh_3_2;2021-03-20 17:36:27;15.68;15078.85;12
ECS_kWh_3_2;2021-03-21 17:36:27;15.7;15094.55;13
ECS_kWh_3_2;2021-03-22 17:36:27;19.84;15114.39;13
ECS_kWh_3_2;2021-03-23 17:36:27;24.8;15139.19;13
ECS_kWh_3_2;2021-03-24 17:36:27;28.67;15167.86;13
ECS_kWh_3_2;2021-03-25 17:36:27;22.79;15190.65;13
ECS_kWh_3_2;2021-03-26 17:36:27;17.87;15208.52;13
ECS_kWh_3_2;2021-03-27 17:36:27;13.36;15221.88;13
ECS_kWh_3_2;2021-03-28 17:36:27;10.06;15231.94;14
ECS_kWh_3_2;2021-03-29 17:36:27;27.37;15259.31;14
ECS_kWh_3_2;2021-03-30 17:36:27;23.84;15283.15;14
ECS_kWh_3_2;2021-03-31 17:36:27;13.34;15296.49;14
chauffage_kWh_3_2;2021-03-17 17:36:27;26.03;12026.03;12
