ts;tagName;tagValue;quality
2018-10-15 03:00:00.000;Dprt_Rstrnt_E_3_1_P_MIEET_kWh;2421;0
2018-10-15 03:00:00.000;ECS_H_1_1_P_MIECT_kWh;25247;0
2018-10-15 03:00:00.000;ECS_W_1_1_1_1_P_MIVET_m3;230.48;0
2018-10-15 03:00:00.000;LclTcnq12_E_2_3_P_MIEET_kWh;0;0
2018-10-15 03:00:00.000;LclTcnq22_E_2_5_P_MIEET_kWh;262293;0
2018-10-15 03:00:00.000;MtEclrg_E_2_1_P_MIEET_kWh;59527;0
2018-10-15 04:00:00.000;AtlrDpt_E_2_4_P_MIEET_kWh;4620;0
2018-10-15 04:00:00.000;Chdr_H_1_P_MIECT_kWh;191792;0
2018-10-15 04:00:00.000;Cll6_E_2_6_P_MIEET_kWh;41850;0
2018-10-15 04:00:00.000;Ctnr_W_1_2_P_MIVET_m3;1781.46;0
2018-10-15 04:00:00.000;Dprt_Csn_E_3_2_P_MIEET_kWh;7114;0
2018-10-15 04:00:00.000;Dprt_Rstrnt_E_3_1_P_MIEET_kWh;2421;0
2018-10-15 04:00:00.000;ECS_H_1_1_P_MIECT_kWh;25247;0
2018-10-15 04:00:00.000;ECS_W_1_1_1_1_P_MIVET_m3;230.48;0
2018-10-15 04:00:00.000;LclTcnq12_E_2_3_P_MIEET_kWh;0;0
2018-10-15 04:00:00.000;LclTcnq22_E_2_5_P_MIEET_kWh;262293;0
2018-10-15 04:00:00.000;MtEclrg_E_2_1_P_MIEET_kWh;59527;0
2018-10-15 05:00:00.000;AtlrDpt_E_2_4_P_MIEET_kWh;4620;0
2018-10-15 05:00:00.000;Chdr_H_1_P_MIECT_kWh;191805;0
2018-10-15 05:00:00.000;Cll6_E_2_6_P_MIEET_kWh;41850;0
2018-10-15 05:00:00.000;Ctnr_W_1_2_P_MIVET_m3;1781.46;0
2018-10-15 05:00:00.000;Dprt_Csn_E_3_2_P_MIEET_kWh;7114;0
2018-10-15 05:00:00.000;Dprt_Rstrnt_E_3_1_P_MIEET_kWh;2421;0
2018-10-15 05:00:00.000;ECS_H_1_1_P_MIECT_kWh;25247;0
2018-10-15 05:00:00.000;ECS_W_1_1_1_1_P_MIVET_m3;230.48;0
2018-10-15 05:00:00.000;LclTcnq12_E_2_3_P_MIEET_kWh;0;0
2018-10-15 05:00:00.000;LclTcnq22_E_2_5_P_MIEET_kWh;262293;0
2018-10-15 05:00:00.000;MtEclrg_E_2_1_P_MIEET_kWh;59527;0
2018-10-15 06:00:00.000;AtlrDpt_E_2_4_P_MIEET_kWh;4620;0
2018-10-15 06:00:00.000;Chdr_H_1_P_MIECT_kWh;191836;0
2018-10-15 06:00:00.000;Cll6_E_2_6_P_MIEET_kWh;41850;0
2018-10-15 06:00:00.000;Ctnr_W_1_2_P_MIVET_m3;1781.46;0
2018-10-15 06:00:00.000;Dprt_Csn_E_3_2_P_MIEET_kWh;7114;0
